Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Device,Sim.Pins,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
"C1, C2, C4, C5",4,0.1uF,C_0805_2012Metric,,,,smt,Unpolarized capacitor,,,,,,
C10,1,12pF,C_0805_2012Metric,,,,smt,Unpolarized capacitor,,,,,,
"C11, C7, C9",3,6.8pF,C_0805_2012Metric,,,,smt,Unpolarized capacitor,,,,,,
"C12, C8",2,220pF,C_0805_2012Metric,,,,smt,Unpolarized capacitor,,,,,,
"C3, C6",2,27pF,C_0805_2012Metric,,,,smt,Unpolarized capacitor,,,,,,
D1,1,LED_Transmit,LED_0805_2012Metric,,,,smt,Light emitting diode,,,,,,
"D11, D12, D13, D14",4,1N4001,D_0805_2012Metric,,,,smt,"50V 1A General Purpose Rectifier Diode, DO-41",D,1=K 2=A,,,,
D2,1,LED_Receive,LED_0805_2012Metric,,,,smt,Light emitting diode,,,,,,
D3,1,LED_Valid,LED_0805_2012Metric,,,,smt,Light emitting diode,,,,,,
J1,1,Conn_02x04_Counter_Clockwise,PinSocket_2x04_P2.54mm_Vertical,,,,tht,"Generic connector, double row, 02x04, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
J2,1,Conn_Coaxial,SMA_Amphenol_901-143_Horizontal,,,,tht,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",,,,,,
J3,1,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,,,,,
J4,1,Conn_01x01_Socket,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
"L1, L2, L4",3,33nH,L_0805_2012Metric,,,,smt,Inductor,,,,,,
L3,1,18nH,L_0805_2012Metric,,,,smt,Inductor,,,,,,
R1,1,56k,C_0805_2012Metric,,,,smt,Resistor,,,,,,
"R2, R3, R6",3,68,R_0805_2012Metric,,,,smt,Resistor,,,,,,
U1,1,STM32C011F4Px,TSSOP-20_4.4x6.5mm_P0.65mm,,,,smt,"STMicroelectronics Arm Cortex-M0+ MCU, 16KB flash, 6KB RAM, 48 MHz, 2.0-3.6V, 18 GPIO, TSSOP20",,,,,,
U2,1,L293D,DIP-16_W7.62mm,,,,tht,Quadruple Half-H Drivers,,,,,,
U3,1,CC1101RGPR,RGP20_2P4X2P4,,,,smt,,,,,,,
U4,1,LM3940IT-3.3,LM3940IT-3.3,,,,tht,,,,,,,
Y1,1,NX3225GA-26.000MHZ-EXS00A-CG01972,NX3225GA16000MSTDCRG1,,NX3225GA-26.000MHZ-EXS00A-CG01972,,smt,Crystals CRYSTAL 26MHZ 10PF SMD,,,0.9,344-NX3225GA26MHZEXS,https://www.mouser.co.uk/ProductDetail/NDK/NX3225GA-26.000MHZ-EXS00A-CG01972?qs=55YtniHzbhDzlu7sK5skMA%3D%3D,NDK
